Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%),,Basis,Rotation
229,0.229,123.879196,100.2838099,125.6892067,100.2640604,,0,1
230,0.23,119.2543119,100.0451736,121.0338087,100.0422998,,0,1
231,0.231,114.5257709,99.87690419,116.8446376,99.96442439,,1,0
232,0.232,120.5245601,100.3889348,118.5660202,100.3536038,,0,1
233,0.233,115.6406821,100.0659872,115.9075387,100.0285451,,0,1
234,0.234,113.0450571,99.59690068,110.6028979,99.7297156,,1,0
235,0.235,124.9104191,100.4338609,121.5593514,100.3503318,,0,1
236,0.236,125.4285708,100.3099543,123.4618385,100.1522083,,0,1
237,0.237,123.4534673,100.2562963,129.7955719,100.374156,,1,0
238,0.238,130.926981,100.4137875,127.6479449,100.3555305,,0,1
239,0.239,130.9497365,100.2737533,127.4245414,100.1751032,,0,1
240,0.24,112.7471654,99.64914647,113.1000401,99.51187593,,0,1
241,0.241,129.7099518,100.4496226,129.6890527,100.2790875,,0,1
242,0.242,111.5642447,99.7509098,124.287106,100.2364855,,1,0
243,0.243,124.2398561,100.3008213,124.6361187,100.3855327,,1,0
244,0.244,117.182434,100.0604595,119.4578125,100.0530366,,0,1
245,0.245,123.3572908,99.93545388,121.1985561,100.0080879,,1,0
246,0.246,116.2408506,99.78757017,118.367025,99.94470793,,1,0
247,0.247,106.8698514,99.2532442,113.5770488,99.65524328,,1,0
248,0.248,124.6155129,99.93335778,126.6623914,100.060552,,1,0
249,0.249,125.4480147,100.1510666,130.081753,100.2118424,,1,0
250,0.25,127.7085152,100.5452831,130.9067303,100.5821133,,1,0
251,0.251,120.9337538,100.3366865,121.9435927,100.2608202,,0,1
252,0.252,124.3413315,100.2209417,126.8714664,100.2869099,,1,0
253,0.253,133.1874146,100.4795245,130.8260827,100.4087417,,0,1
254,0.254,109.6980625,99.55518168,121.5563385,99.75902744,,1,0
255,0.255,117.8795499,100.1114246,116.6201423,100.1204704,,1,0
256,0.256,118.7674839,100.1618287,116.9408389,100.0018877,,0,1
257,0.257,121.147502,99.89769729,113.5840781,99.72462171,,0,1
258,0.258,124.7607608,100.2569068,118.1896947,100.1348411,,0,1
259,0.259,111.1744496,99.72879879,109.1668216,99.67418215,,0,1
260,0.26,123.3250669,100.1740046,122.0390876,100.0081731,,0,1
261,0.261,115.3352876,99.93891111,121.0147618,100.1198902,,1,0
262,0.262,114.365344,99.94276111,111.6263769,99.82667163,,0,1
263,0.263,125.3175281,100.3818019,122.3556355,100.4745878,,1,0
264,0.264,123.9053809,100.1585576,121.1724508,100.1156041,,0,1
265,0.265,122.4383057,100.4786308,126.0686071,100.4858944,,1,0
266,0.266,121.2604292,99.92902365,118.2207503,100.2036311,,1,0
267,0.267,124.4652901,100.0681536,119.7818935,100.0883588,,1,0
268,0.268,128.1525902,100.4417641,129.1795991,100.3643621,,0,1
269,0.269,105.5136757,99.15774373,108.3189303,99.4042742,,1,0
270,0.27,118.6295527,100.2595813,119.3893747,100.3115784,,1,0
